,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,expirationDate,snapshotDate,latestStockPrice,optionType,ticker
75,MSFT250502P00255000,2025-04-23 14:07:45+00:00,255.0,0.03,0.0,0.17,0.0,0.0,2.0,58,1.5898458007812497,False,REGULAR,USD,2025-05-02,2025-04-28,391.1600036621094,PUT,MSFT
76,MSFT250502P00260000,2025-04-28 19:45:05+00:00,260.0,0.02,0.0,0.07,-0.02,-50.0,178.0,80,1.3906280468749999,False,REGULAR,USD,2025-05-02,2025-04-28,391.1600036621094,PUT,MSFT
77,MSFT250502P00265000,2025-04-28 17:54:59+00:00,265.0,0.01,0.0,0.07,0.0,0.0,32.0,52,1.3320345898437496,False,REGULAR,USD,2025-05-02,2025-04-28,391.1600036621094,PUT,MSFT
78,MSFT250502P00270000,2025-04-22 17:30:46+00:00,270.0,0.01,0.0,0.17,-0.07,-87.5,5.0,64,1.396487392578125,False,REGULAR,USD,2025-05-02,2025-04-28,391.1600036621094,PUT,MSFT
79,MSFT250502P00275000,2025-04-28 15:47:14+00:00,275.0,0.02,0.0,0.04,0.0,0.0,2.0,155,1.15625421875,False,REGULAR,USD,2025-05-02,2025-04-28,391.1600036621094,PUT,MSFT
80,MSFT250502P00280000,2025-04-28 19:52:27+00:00,280.0,0.02,0.01,0.23,-0.01,-33.333336,412.0,251,1.32422212890625,False,REGULAR,USD,2025-05-02,2025-04-28,391.1600036621094,PUT,MSFT
81,MSFT250502P00285000,2025-04-28 19:09:07+00:00,285.0,0.01,0.01,0.03,-0.02,-66.66667,6.0,48,1.0468797656250002,False,REGULAR,USD,2025-05-02,2025-04-28,391.1600036621094,PUT,MSFT
82,MSFT250502P00290000,2025-04-28 16:29:08+00:00,290.0,0.02,0.01,0.37,0.0,0.0,4.0,601,1.2714880175781247,False,REGULAR,USD,2025-05-02,2025-04-28,391.1600036621094,PUT,MSFT
83,MSFT250502P00292500,2025-04-24 15:35:48+00:00,292.5,0.07,0.01,0.38,0.0,0.0,,12,1.2421912890624998,False,REGULAR,USD,2025-05-02,2025-04-28,391.1600036621094,PUT,MSFT
84,MSFT250502P00295000,2025-04-28 19:52:11+00:00,295.0,0.03,0.02,0.05,-0.020000001,-40.000004,75.0,146,0.992187578125,False,REGULAR,USD,2025-05-02,2025-04-28,391.1600036621094,PUT,MSFT
85,MSFT250502P00297500,2025-04-28 14:51:10+00:00,297.5,0.03,0.01,0.05,-0.020000001,-40.000004,36.0,7,0.9492192578124999,False,REGULAR,USD,2025-05-02,2025-04-28,391.1600036621094,PUT,MSFT
86,MSFT250502P00300000,2025-04-28 19:34:12+00:00,300.0,0.04,0.01,0.05,-0.02,-33.333336,125.0,995,0.92187578125,False,REGULAR,USD,2025-05-02,2025-04-28,391.1600036621094,PUT,MSFT
87,MSFT250502P00302500,2025-04-28 16:31:05+00:00,302.5,0.02,0.01,0.05,-0.04,-66.66667,2.0,324,0.8984385156249999,False,REGULAR,USD,2025-05-02,2025-04-28,391.1600036621094,PUT,MSFT
88,MSFT250502P00305000,2025-04-28 14:08:58+00:00,305.0,0.04,0.01,0.26,-0.02,-33.333336,11.0,487,1.0312548437500002,False,REGULAR,USD,2025-05-02,2025-04-28,391.1600036621094,PUT,MSFT
89,MSFT250502P00307500,2025-04-25 19:59:29+00:00,307.5,0.07,0.02,0.41,0.010000002,16.66667,1.0,533,1.0664109179687502,False,REGULAR,USD,2025-05-02,2025-04-28,391.1600036621094,PUT,MSFT
90,MSFT250502P00310000,2025-04-28 19:11:49+00:00,310.0,0.05,0.0,0.08,-0.029999997,-37.499996,34.0,3812,0.8437515624999999,False,REGULAR,USD,2025-05-02,2025-04-28,391.1600036621094,PUT,MSFT
91,MSFT250502P00312500,2025-04-28 15:48:41+00:00,312.5,0.1,0.02,0.09,-0.07,-41.17647,4.0,95,0.8437515624999999,False,REGULAR,USD,2025-05-02,2025-04-28,391.1600036621094,PUT,MSFT
92,MSFT250502P00315000,2025-04-28 18:04:52+00:00,315.0,0.09,0.05,0.09,-0.009999998,-9.999997,45.0,731,0.8398453515625,False,REGULAR,USD,2025-05-02,2025-04-28,391.1600036621094,PUT,MSFT
93,MSFT250502P00317500,2025-04-28 19:57:15+00:00,317.5,0.08,0.04,0.1,-0.020000003,-20.000002,144.0,119,0.8125018749999999,False,REGULAR,USD,2025-05-02,2025-04-28,391.1600036621094,PUT,MSFT
94,MSFT250502P00320000,2025-04-28 19:58:01+00:00,320.0,0.1,0.02,0.1,-0.009999998,-9.090907,107.0,1602,0.77148666015625,False,REGULAR,USD,2025-05-02,2025-04-28,391.1600036621094,PUT,MSFT
95,MSFT250502P00322500,2025-04-28 19:31:27+00:00,322.5,0.1,0.06,0.1,-0.089999996,-47.368423,35.0,48,0.77148666015625,False,REGULAR,USD,2025-05-02,2025-04-28,391.1600036621094,PUT,MSFT
96,MSFT250502P00325000,2025-04-28 19:56:09+00:00,325.0,0.09,0.09,0.13,-0.06999999,-43.749996,85.0,1830,0.773439765625,False,REGULAR,USD,2025-05-02,2025-04-28,391.1600036621094,PUT,MSFT
97,MSFT250502P00327500,2025-04-28 19:12:41+00:00,327.5,0.12,0.08,0.14,-0.089999996,-42.857143,10.0,101,0.7460962890625,False,REGULAR,USD,2025-05-02,2025-04-28,391.1600036621094,PUT,MSFT
98,MSFT250502P00330000,2025-04-28 19:56:09+00:00,330.0,0.13,0.11,0.16,-0.08,-38.095238,497.0,1568,0.7382838671874999,False,REGULAR,USD,2025-05-02,2025-04-28,391.1600036621094,PUT,MSFT
99,MSFT250502P00332500,2025-04-28 19:47:48+00:00,332.5,0.11,0.12,0.18,-0.14,-56.0,229.0,169,0.719729365234375,False,REGULAR,USD,2025-05-02,2025-04-28,391.1600036621094,PUT,MSFT
100,MSFT250502P00335000,2025-04-28 19:39:20+00:00,335.0,0.19,0.14,0.2,-0.060000002,-24.0,120.0,1668,0.70312796875,False,REGULAR,USD,2025-05-02,2025-04-28,391.1600036621094,PUT,MSFT
101,MSFT250502P00337500,2025-04-28 19:40:07+00:00,337.5,0.22,0.17,0.23,-0.13,-37.142857,110.0,312,0.6904327832031252,False,REGULAR,USD,2025-05-02,2025-04-28,391.1600036621094,PUT,MSFT
102,MSFT250502P00340000,2025-04-28 19:59:54+00:00,340.0,0.24,0.22,0.25,-0.12000002,-33.333336,743.0,1695,0.6777375976562501,False,REGULAR,USD,2025-05-02,2025-04-28,391.1600036621094,PUT,MSFT
103,MSFT250502P00342500,2025-04-28 19:47:13+00:00,342.5,0.27,0.24,0.29,-0.13,-32.5,35.0,241,0.6606479248046876,False,REGULAR,USD,2025-05-02,2025-04-28,391.1600036621094,PUT,MSFT
104,MSFT250502P00345000,2025-04-28 19:50:17+00:00,345.0,0.29,0.3,0.35,-0.19,-39.583336,781.0,1420,0.6523472265625001,False,REGULAR,USD,2025-05-02,2025-04-28,391.1600036621094,PUT,MSFT
105,MSFT250502P00347500,2025-04-28 19:59:30+00:00,347.5,0.4,0.35,0.41,-0.12999997,-24.528296,304.0,311,0.63867548828125,False,REGULAR,USD,2025-05-02,2025-04-28,391.1600036621094,PUT,MSFT
106,MSFT250502P00350000,2025-04-28 19:59:39+00:00,350.0,0.46,0.44,0.48,-0.18999997,-29.230764,2153.0,2381,0.6293982373046876,False,REGULAR,USD,2025-05-02,2025-04-28,391.1600036621094,PUT,MSFT
107,MSFT250502P00352500,2025-04-28 19:54:52+00:00,352.5,0.54,0.53,0.59,-0.31,-36.47059,55.0,107,0.6210975390625001,False,REGULAR,USD,2025-05-02,2025-04-28,391.1600036621094,PUT,MSFT
108,MSFT250502P00355000,2025-04-28 19:59:21+00:00,355.0,0.67,0.66,0.72,-0.20999998,-23.863634,1327.0,1205,0.6145058081054688,False,REGULAR,USD,2025-05-02,2025-04-28,391.1600036621094,PUT,MSFT
109,MSFT250502P00357500,2025-04-28 19:58:11+00:00,357.5,0.8,0.82,0.87,-0.25999993,-24.528296,516.0,179,0.6079140771484376,False,REGULAR,USD,2025-05-02,2025-04-28,391.1600036621094,PUT,MSFT
204,MSFT250509C00430000,2025-04-28 19:57:20+00:00,430.0,0.81,0.74,0.8,0.01999998,2.5316432,348.0,301,0.3679262426757813,False,REGULAR,USD,2025-05-09,2025-04-28,391.1600036621094,CALL,MSFT
205,MSFT250509C00435000,2025-04-28 19:44:18+00:00,435.0,0.55,0.47,0.66,0.050000012,10.000002,395.0,272,0.38550419189453117,False,REGULAR,USD,2025-05-09,2025-04-28,391.1600036621094,CALL,MSFT
206,MSFT250509C00440000,2025-04-28 19:57:51+00:00,440.0,0.32,0.3,0.34,0.049999982,18.51851,73.0,182,0.3679262426757813,False,REGULAR,USD,2025-05-09,2025-04-28,391.1600036621094,CALL,MSFT
207,MSFT250509C00445000,2025-04-28 19:40:30+00:00,445.0,0.2,0.18,0.22,0.030000001,17.647058,18.0,85,0.36914693359375,False,REGULAR,USD,2025-05-09,2025-04-28,391.1600036621094,CALL,MSFT
208,MSFT250509C00450000,2025-04-28 19:43:51+00:00,450.0,0.14,0.11,0.14,0.049999997,55.55555,152.0,705,0.370123486328125,False,REGULAR,USD,2025-05-09,2025-04-28,391.1600036621094,CALL,MSFT
209,MSFT250509C00455000,2025-04-28 18:59:06+00:00,455.0,0.09,0.07,0.1,0.010000005,12.500007,33.0,26,0.37793590820312495,False,REGULAR,USD,2025-05-09,2025-04-28,391.1600036621094,CALL,MSFT
210,MSFT250509C00460000,2025-04-28 18:35:13+00:00,460.0,0.06,0.01,0.07,0.03,100.0,107.0,21,0.383795224609375,False,REGULAR,USD,2025-05-09,2025-04-28,391.1600036621094,CALL,MSFT
211,MSFT250509C00465000,2025-04-28 18:47:13+00:00,465.0,0.04,0.02,0.05,0.0,0.0,75.0,131,0.39063109375,False,REGULAR,USD,2025-05-09,2025-04-28,391.1600036621094,CALL,MSFT
212,MSFT250509C00470000,2025-04-28 17:19:43+00:00,470.0,0.03,0.01,0.06,0.01,50.0,2.0,5,0.41992767578125,False,REGULAR,USD,2025-05-09,2025-04-28,391.1600036621094,CALL,MSFT
213,MSFT250509C00475000,2025-04-25 16:34:37+00:00,475.0,0.02,0.0,0.04,0.0,0.0,20.0,26,0.42188078125,False,REGULAR,USD,2025-05-09,2025-04-28,391.1600036621094,CALL,MSFT
214,MSFT250509C00480000,2025-04-28 18:28:51+00:00,480.0,0.02,0.0,0.04,-0.08,-80.00001,30.0,300,0.44336494140625,False,REGULAR,USD,2025-05-09,2025-04-28,391.1600036621094,CALL,MSFT
215,MSFT250509C00500000,2025-04-23 16:53:18+00:00,500.0,0.02,0.0,0.02,0.0,0.0,1.0,10,0.48828636718750007,False,REGULAR,USD,2025-05-09,2025-04-28,391.1600036621094,CALL,MSFT
216,MSFT250509C00540000,2025-04-09 15:51:31+00:00,540.0,0.04,0.0,0.22,0.0,0.0,1.0,1,0.73633076171875,False,REGULAR,USD,2025-05-09,2025-04-28,391.1600036621094,CALL,MSFT
217,MSFT250509C00550000,2025-04-21 13:30:04+00:00,550.0,0.04,0.0,0.01,0.0,0.0,1.0,167,0.5937540625000001,False,REGULAR,USD,2025-05-09,2025-04-28,391.1600036621094,CALL,MSFT
218,MSFT250509C00560000,2025-04-11 14:13:20+00:00,560.0,0.03,0.0,0.22,0.0,0.0,,1,0.8085956640624999,False,REGULAR,USD,2025-05-09,2025-04-28,391.1600036621094,CALL,MSFT
219,MSFT250509P00225000,2025-04-25 17:09:41+00:00,225.0,0.01,0.0,0.03,0.0,0.0,5.0,23,1.0312548437500002,False,REGULAR,USD,2025-05-09,2025-04-28,391.1600036621094,PUT,MSFT
220,MSFT250509P00230000,2025-04-21 19:55:25+00:00,230.0,0.07,0.01,0.23,0.0,0.0,14.0,28,1.2148476757812499,False,REGULAR,USD,2025-05-09,2025-04-28,391.1600036621094,PUT,MSFT
221,MSFT250509P00235000,2025-04-25 13:48:58+00:00,235.0,0.03,0.01,0.23,0.0,0.0,3.0,90,1.169926025390625,False,REGULAR,USD,2025-05-09,2025-04-28,391.1600036621094,PUT,MSFT
222,MSFT250509P00240000,2025-04-25 13:30:06+00:00,240.0,0.03,0.0,0.24,0.0,0.0,1.0,65,1.125004375,False,REGULAR,USD,2025-05-09,2025-04-28,391.1600036621094,PUT,MSFT
223,MSFT250509P00245000,2025-04-21 16:22:33+00:00,245.0,0.16,0.0,0.24,0.0,0.0,3.0,101,1.08203583984375,False,REGULAR,USD,2025-05-09,2025-04-28,391.1600036621094,PUT,MSFT
224,MSFT250509P00250000,2025-04-21 19:55:25+00:00,250.0,0.17,0.0,0.24,0.0,0.0,13.0,14,1.0390673046875003,False,REGULAR,USD,2025-05-09,2025-04-28,391.1600036621094,PUT,MSFT
225,MSFT250509P00255000,2025-04-28 19:01:44+00:00,255.0,0.02,0.01,0.03,-0.030000001,-60.0,22.0,6,0.8359391406249999,False,REGULAR,USD,2025-05-09,2025-04-28,391.1600036621094,PUT,MSFT
226,MSFT250509P00260000,2025-04-28 19:01:53+00:00,260.0,0.02,0.01,0.25,-0.01,-33.333336,2.0,56,0.965820654296875,False,REGULAR,USD,2025-05-09,2025-04-28,391.1600036621094,PUT,MSFT
227,MSFT250509P00265000,2025-04-28 16:26:33+00:00,265.0,0.03,0.01,0.25,-0.19,-86.36364,7.0,19,0.9248054394531251,False,REGULAR,USD,2025-05-09,2025-04-28,391.1600036621094,PUT,MSFT
228,MSFT250509P00270000,2025-04-28 15:32:55+00:00,270.0,0.03,0.02,0.26,-0.020000001,-40.000004,2.0,51,0.89257919921875,False,REGULAR,USD,2025-05-09,2025-04-28,391.1600036621094,PUT,MSFT
229,MSFT250509P00275000,2025-04-28 16:29:57+00:00,275.0,0.05,0.02,0.07,0.0,0.0,14.0,177,0.7500025,False,REGULAR,USD,2025-05-09,2025-04-28,391.1600036621094,PUT,MSFT
230,MSFT250509P00280000,2025-04-28 19:16:32+00:00,280.0,0.05,0.03,0.06,-0.02,-28.571428,11.0,132,0.7148466015625,False,REGULAR,USD,2025-05-09,2025-04-28,391.1600036621094,PUT,MSFT
231,MSFT250509P00285000,2025-04-28 19:45:52+00:00,285.0,0.07,0.05,0.09,-0.009999998,-12.499997,8.0,152,0.7148466015625,False,REGULAR,USD,2025-05-09,2025-04-28,391.1600036621094,PUT,MSFT
232,MSFT250509P00290000,2025-04-28 17:14:04+00:00,290.0,0.08,0.06,0.09,-0.020000003,-20.000002,20.0,38,0.6835969140625001,False,REGULAR,USD,2025-05-09,2025-04-28,391.1600036621094,PUT,MSFT
233,MSFT250509P00295000,2025-04-28 19:21:36+00:00,295.0,0.09,0.07,0.15,-0.03999999,-30.769224,26.0,153,0.6777375976562501,False,REGULAR,USD,2025-05-09,2025-04-28,391.1600036621094,PUT,MSFT
234,MSFT250509P00300000,2025-04-28 18:38:37+00:00,300.0,0.11,0.1,0.13,-0.11,-50.0,76.0,4397,0.6455113574218749,False,REGULAR,USD,2025-05-09,2025-04-28,391.1600036621094,PUT,MSFT
235,MSFT250509P00302500,2025-04-25 14:19:18+00:00,302.5,0.14,0.1,0.15,-0.030000001,-17.647058,2.0,9,0.6347692773437501,False,REGULAR,USD,2025-05-09,2025-04-28,391.1600036621094,PUT,MSFT
236,MSFT250509P00305000,2025-04-24 19:10:29+00:00,305.0,0.26,0.11,0.16,0.0,0.0,10.0,419,0.622074091796875,False,REGULAR,USD,2025-05-09,2025-04-28,391.1600036621094,PUT,MSFT
237,MSFT250509P00307500,2025-04-28 13:43:59+00:00,307.5,0.15,0.13,0.17,-0.15,-50.0,10.0,6,0.6123085644531252,False,REGULAR,USD,2025-05-09,2025-04-28,391.1600036621094,PUT,MSFT
238,MSFT250509P00310000,2025-04-28 19:29:06+00:00,310.0,0.18,0.15,0.19,-0.019999996,-9.999997,9.0,3614,0.6044961425781252,False,REGULAR,USD,2025-05-09,2025-04-28,391.1600036621094,PUT,MSFT
239,MSFT250509P00312500,2025-04-28 14:01:43+00:00,312.5,0.22,0.16,0.69,-0.030000001,-12.0,1.0,5,0.6728548339843752,False,REGULAR,USD,2025-05-09,2025-04-28,391.1600036621094,PUT,MSFT
240,MSFT250509P00315000,2025-04-28 19:34:09+00:00,315.0,0.2,0.18,0.22,-0.049999997,-19.999998,46.0,149,0.5810588769531251,False,REGULAR,USD,2025-05-09,2025-04-28,391.1600036621094,PUT,MSFT
241,MSFT250509P00317500,2025-04-28 14:33:48+00:00,317.5,0.25,0.2,0.25,-0.03999999,-13.7931,3.0,5,0.5717816259765626,False,REGULAR,USD,2025-05-09,2025-04-28,391.1600036621094,PUT,MSFT
242,MSFT250509P00320000,2025-04-28 18:35:17+00:00,320.0,0.27,0.23,0.27,-0.109999985,-28.947363,17.0,236,0.5620160986328125,False,REGULAR,USD,2025-05-09,2025-04-28,391.1600036621094,PUT,MSFT
243,MSFT250509P00322500,2025-04-28 16:44:33+00:00,322.5,0.33,0.26,0.3,-0.01999998,-5.71428,42.0,15,0.55273884765625,False,REGULAR,USD,2025-05-09,2025-04-28,391.1600036621094,PUT,MSFT
244,MSFT250509P00325000,2025-04-28 13:30:04+00:00,325.0,0.33,0.29,0.33,-0.06999999,-17.499998,5.0,412,0.5424850439453126,False,REGULAR,USD,2025-05-09,2025-04-28,391.1600036621094,PUT,MSFT
245,MSFT250509P00327500,2025-04-28 14:31:21+00:00,327.5,0.42,0.32,0.37,-0.27,-39.130436,6.0,5,0.532231240234375,False,REGULAR,USD,2025-05-09,2025-04-28,391.1600036621094,PUT,MSFT
246,MSFT250509P00330000,2025-04-28 18:30:56+00:00,330.0,0.4,0.36,0.41,-0.060000002,-13.043478,24.0,329,0.5224657128906249,False,REGULAR,USD,2025-05-09,2025-04-28,391.1600036621094,PUT,MSFT
247,MSFT250509P00332500,2025-04-28 17:44:11+00:00,332.5,0.54,0.41,0.45,-0.00999999,-1.8181801,2.0,13,0.5127001855468749,False,REGULAR,USD,2025-05-09,2025-04-28,391.1600036621094,PUT,MSFT
248,MSFT250509P00335000,2025-04-28 16:27:10+00:00,335.0,0.51,0.47,0.51,-0.110000014,-17.741938,16.0,256,0.5048877636718749,False,REGULAR,USD,2025-05-09,2025-04-28,391.1600036621094,PUT,MSFT
249,MSFT250509P00337500,2025-04-25 16:45:28+00:00,337.5,0.63,0.53,0.58,-0.13,-17.105263,6.0,29,0.5004932763671875,False,REGULAR,USD,2025-05-09,2025-04-28,391.1600036621094,PUT,MSFT
250,MSFT250509P00340000,2025-04-28 19:22:41+00:00,340.0,0.63,0.21,0.65,-0.16000003,-20.253166,57.0,351,0.49121602539062503,False,REGULAR,USD,2025-05-09,2025-04-28,391.1600036621094,PUT,MSFT
251,MSFT250509P00342500,2025-04-28 16:16:51+00:00,342.5,0.87,0.69,0.74,-0.050000012,-5.4347835,41.0,69,0.4831594653320313,False,REGULAR,USD,2025-05-09,2025-04-28,391.1600036621094,PUT,MSFT
252,MSFT250509P00345000,2025-04-28 18:13:25+00:00,345.0,0.84,0.8,0.85,-0.14000005,-14.285719,42.0,405,0.4760794580078125,False,REGULAR,USD,2025-05-09,2025-04-28,391.1600036621094,PUT,MSFT
253,MSFT250509P00347500,2025-04-28 17:10:44+00:00,347.5,0.97,0.37,1.16,-0.20999992,-17.796604,27.0,33,0.4887746435546876,False,REGULAR,USD,2025-05-09,2025-04-28,391.1600036621094,PUT,MSFT
12,PINS250502C00025500,2025-04-28 18:47:36+00:00,25.5,1.0,0.95,1.28,-0.13999999,-12.280701,53.0,300,0.6777375976562501,True,REGULAR,USD,2025-05-02,2025-04-28,26.170000076293945,CALL,PINS
13,PINS250502C00026000,2025-04-28 19:06:20+00:00,26.0,0.78,0.74,0.87,-0.060000002,-7.1428576,257.0,640,0.65820654296875,True,REGULAR,USD,2025-05-02,2025-04-28,26.170000076293945,CALL,PINS
14,PINS250502C00026500,2025-04-28 18:23:07+00:00,26.5,0.56,0.56,0.62,-0.029999971,-5.084741,48.0,2770,0.6757844921875001,False,REGULAR,USD,2025-05-02,2025-04-28,26.170000076293945,CALL,PINS
15,PINS250502C00027000,2025-04-28 19:45:57+00:00,27.0,0.39,0.21,0.4,-0.01000002,-2.500005,180.0,1866,0.5722699023437501,False,REGULAR,USD,2025-05-02,2025-04-28,26.170000076293945,CALL,PINS
16,PINS250502C00027500,2025-04-28 19:49:26+00:00,27.5,0.18,0.23,0.27,-0.09,-33.333332,188.0,147,0.6523472265625001,False,REGULAR,USD,2025-05-02,2025-04-28,26.170000076293945,CALL,PINS
17,PINS250502C00028000,2025-04-28 19:55:07+00:00,28.0,0.13,0.01,0.17,-0.040000007,-23.529415,194.0,461,0.5468795312500001,False,REGULAR,USD,2025-05-02,2025-04-28,26.170000076293945,CALL,PINS
18,PINS250502C00028500,2025-04-28 19:26:39+00:00,28.5,0.09,0.08,0.1,-0.019999996,-18.181814,214.0,187,0.6445348046875,False,REGULAR,USD,2025-05-02,2025-04-28,26.170000076293945,CALL,PINS
19,PINS250502C00029000,2025-04-28 19:26:38+00:00,29.0,0.06,0.04,0.08,-0.02,-25.0,112.0,158,0.6640658593750002,False,REGULAR,USD,2025-05-02,2025-04-28,26.170000076293945,CALL,PINS
20,PINS250502C00029500,2025-04-28 14:16:28+00:00,29.5,0.04,0.02,0.07,-0.010000002,-20.000002,90.0,117,0.70312796875,False,REGULAR,USD,2025-05-02,2025-04-28,26.170000076293945,CALL,PINS
21,PINS250502C00030000,2025-04-28 18:47:38+00:00,30.0,0.02,0.0,0.1,-0.030000001,-60.0,13.0,531,0.79687703125,False,REGULAR,USD,2025-05-02,2025-04-28,26.170000076293945,CALL,PINS
22,PINS250502C00030500,2025-04-25 14:12:51+00:00,30.5,0.04,0.0,0.39,0.0,0.0,2.0,2,1.2070352148437498,False,REGULAR,USD,2025-05-02,2025-04-28,26.170000076293945,CALL,PINS
23,PINS250502C00031000,2025-04-28 13:30:08+00:00,31.0,0.01,0.0,0.02,-0.02,-66.66667,10.0,65,0.7187528125,False,REGULAR,USD,2025-05-02,2025-04-28,26.170000076293945,CALL,PINS
24,PINS250502C00032000,2025-04-23 17:01:21+00:00,32.0,0.02,0.0,0.03,0.0,0.0,2.0,2248,0.8906260937499999,False,REGULAR,USD,2025-05-02,2025-04-28,26.170000076293945,CALL,PINS
25,PINS250502C00033000,2025-04-25 18:54:38+00:00,33.0,0.14,0.0,0.5,0.0,0.0,1.0,1365,1.7265638671875,False,REGULAR,USD,2025-05-02,2025-04-28,26.170000076293945,CALL,PINS
26,PINS250502C00034000,2025-04-23 18:48:00+00:00,34.0,0.02,0.0,0.08,0.0,0.0,2.0,125,1.2890660546875,False,REGULAR,USD,2025-05-02,2025-04-28,26.170000076293945,CALL,PINS
27,PINS250502C00035000,2025-04-25 19:35:04+00:00,35.0,0.2,0.0,0.2,0.0,0.0,1.0,203,1.65234548828125,False,REGULAR,USD,2025-05-02,2025-04-28,26.170000076293945,CALL,PINS
